,계약연월,자치구별,CoffeeShop
1015,2020-5,은평구,399
1016,2020-5,강서구,907
1017,2020-5,강동구,516
1018,2020-5,도봉구,272
1019,2020-5,금천구,375
1020,2020-5,양천구,414
1021,2020-5,관악구,559
1022,2020-5,노원구,484
1023,2020-5,성동구,421
1024,2020-5,광진구,501
1025,2020-6,구로구,458
1026,2020-6,서초구,1005
1027,2020-6,영등포구,862
1028,2020-6,서대문구,521
1029,2020-6,강남구,1831
1030,2020-6,중구,1148
1031,2020-6,송파구,585
1032,2020-6,종로구,859
1033,2020-6,마포구,755
1034,2020-6,성북구,492
1035,2020-6,동대문구,424
1036,2020-6,용산구,444
1037,2020-6,중랑구,329
1038,2020-6,강북구,243
1039,2020-6,동작구,431
1040,2020-6,은평구,399
1041,2020-6,강서구,907
